interaction_id,user_id,product_id,action,timestamp
I01,001,PRD1,action1,2024-08-01 07:07:00
I02,002,PRD2,action1,2024-08-01 07:07:00
I03,003,PRD2,action2,2024-08-01 07:07:00
I04,003,PRD3,,2024-08-01 07:07:00
I05,003,PRD4,action3,2024-08-01 07:07:00
I06,002,PRD1,action2,2024-08-01 07:07:00
I07,004,PRD4,action2,2024-08-01 07:07:00
I08,001,PRD2,action3,2024-08-01 07:07:00
I09,001,PRD1,action1,2024-08-01 07:07:00
I10,004,PRD4,action2,2024-08-01 07:07:00
I11,005,PRD2,,2024-08-05 00:00:00
I12,005,PRD4,action1,2024-08-05 00:00:00
I13,006,PRD1,action2,2024-08-05 00:00:00
I14,002,PRD3,action2,2024-08-05 00:00:00
I15,001,PRD1,action1,2024-08-05 00:00:00
I16,001,PRD3,action3,2024-08-06 00:00:00
I17,006,PRD4,action3,2024-08-07 00:00:00
I18,002,PRD3,action1,2024-08-08 00:00:00
I19,004,PRD1,action2,2024-08-09 00:00:00
I20,004,PRD1,action3,2024-08-12 00:00:00
I21,003,PRD1,action1,2024-08-12 00:00:00
I22,006,PRD1,action2,2024-08-14 00:00:00
I23,005,PRD3,action3,2024-08-09 00:00:00
I24,001,PRD2,action1,2024-08-09 00:00:00
I25,006,PRD3,action2,2024-08-09 00:00:00
I26,006,PRD2,action2,2024-08-09 00:00:00
I27,006,PRD1,action2,2024-08-14 00:00:00
I28,002,PRD3,action3,2024-08-14 00:00:00
I29,006,PRD2,action1,2024-08-14 00:00:00
I30,001,PRD1,action1,2024-08-14 00:00:00

